node_kind,node_id,name_en,latitude,longitude,osm_fclass,match_quality,source
place,PLC0187,Kharshur,23.6375728,90.2480927,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0193,Khilkhet,23.8294051,90.4200925,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0194,Kochukhet,23.7910321,90.3879287,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0197,Konabari,24.0108950,90.3215780,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0199,Konapara,23.7169046,90.4683457,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0202,Kuril,23.8212083,90.4195365,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0203,Kuril Bishwa Road,23.8212083,90.4195365,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0212,Malibagh,23.7499107,90.4132552,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0218,Manikganj,23.8706223,89.9986501,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0224,Mawa Ghat,23.5269710,90.2874322,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0226,Mazar Road,24.5750496,90.6176899,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0232,Middle Badda,23.7778562,90.4256931,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0233,Mirpur (Zoo),23.8004204,90.3559690,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0239,Mirpur-1,23.8053029,90.3633273,bus_stop,tokens,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0240,Mirpur-10,23.8070291,90.3690055,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0241,Mirpur-11,23.8156691,90.3661268,bus_station,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
