service_id,operator_name_en,operator_name_bn,variant_no_for_operator,start_stop_raw,end_stop_raw,declared_stop_count,parsed_stop_count,canonical_match_count,canonical_match_rate,unique_canonical_stop_count,route_signature_sha1_12,service_type,time_text,current_status,source_id
SVC0114,Rajdhani Super Dhaka,রাজধানী বাস,1,Hemayetpur,Demra Staff Quarter,28,28,19,0.6786,19,06e8b7af7b4d,,,needs_validation,SRC_BUS_GITHUB
SVC0115,Ramjan Dhaka,রমযান বাস,1,Gabtoli,Demra Staff Quarter,27,27,21,0.7778,21,d863321185fc,,,needs_validation,SRC_BUS_GITHUB
SVC0116,Robrob Dhaka,রবরব বাস,1,Gabtoli,Banasree,18,18,13,0.7222,13,2c5fc0f8c04a,,,needs_validation,SRC_BUS_GITHUB
SVC0117,Rupa Paribahan Dhaka,রুপা পরিবহন বাস,1,Gabtoli,Vashantek,9,9,8,0.8889,8,fc58f7c2502d,,,needs_validation,SRC_BUS_GITHUB
SVC0118,Safety Druti,সেফটি দ্রুতি বাস,1,Mirpur 12,Azimpur,17,17,14,0.8235,14,17dbef2a2423,,,needs_validation,SRC_BUS_GITHUB
SVC0119,Sakalpa Transport,স্বকল্প ট্রান্সপোর্ট বাস,1,Chiriyakhana,Kamalapur,14,14,13,0.9286,13,97ef0359a375,,5:30 am – 10:30 pm,needs_validation,SRC_BUS_GITHUB
SVC0120,Salsabil,ছালছাবিল বাস,1,Postagola,Gazipur Chourasta,33,33,19,0.5758,19,62dd39d6442c,,,needs_validation,SRC_BUS_GITHUB
SVC0121,Savar Paribahan,সাভার পরিবহন বাস,1,Sadarghat,Nandan Park,26,26,24,0.9231,24,f55a62a306bf,,,needs_validation,SRC_BUS_GITHUB
SVC0122,Shadhin,স্বাধীন বাস,1,Bosila,Demra Staff Quarter,15,15,12,0.8000,12,fa2e407d6247,,,needs_validation,SRC_BUS_GITHUB
SVC0123,Shadhin Express,স্বাধীন এক্সপ্রেস বাস,1,Mirpur 12,Maowa,25,25,23,0.9200,23,1d2fc4c75220,,,needs_validation,SRC_BUS_GITHUB
SVC0124,Shahria Enterprise,শাহরিয়া এন্টারপ্রাইজ বাস,1,Gabtoli,Postagola,26,26,20,0.7692,20,1b19e9bb9467,,,needs_validation,SRC_BUS_GITHUB
SVC0125,Shatabdi,শতাব্দি বাস,1,Motijheel,Kamarpara,22,22,18,0.8182,18,0f1c78dab4e6,,,needs_validation,SRC_BUS_GITHUB
SVC0126,Shikhor Paribahan,শিকড় পরিবহন বাস,1,Mirpur 12,Jatrabari,22,22,20,0.9091,20,5dc047b69c9f,,,needs_validation,SRC_BUS_GITHUB
SVC0127,Shikhor Paribahan,শিকড় পরিবহন বাস,2,Jatrabari,Mirpur 12,23,23,21,0.9130,21,1d14ede35e50,,,needs_validation,SRC_BUS_GITHUB
SVC0128,Suveccha,শুভেচ্ছা বাস,1,Chittagong Road,Chandra,34,34,29,0.8529,29,e35bb298ffa2,,,needs_validation,SRC_BUS_GITHUB
SVC0129,Suvojatra Bus,শুভযাত্রা বাস,1,Fulbaria,Manikganj,24,24,21,0.8750,21,8cab4c6d0655,,,needs_validation,SRC_BUS_GITHUB
SVC0130,Siam Transport,সিয়াম ট্রান্সপোর্ট বাস,1,Banasree,Nobinagar,30,30,19,0.6333,19,93883e55f86e,,,needs_validation,SRC_BUS_GITHUB
SVC0131,Skyline,স্কাই লাইন বাস,1,Sadarghat,Gazipur Chourasta,32,32,23,0.7188,23,7e107442154e,,,needs_validation,SRC_BUS_GITHUB
SVC0132,Super,সুপার বাস,1,Gulistan,Nobinagar,7,7,7,1.0000,7,6e047bd86d09,,,needs_validation,SRC_BUS_GITHUB
SVC0133,Supravat,সুপ্রভাত বাস,1,Victoria Park,Tongi,31,31,23,0.7419,23,f218348743a8,,,needs_validation,SRC_BUS_GITHUB
SVC0134,Swajan Paribahan,স্বজন পরিবহন বাস,1,Savar,Sadarghat,23,23,23,1.0000,23,00593f014f16,,,needs_validation,SRC_BUS_GITHUB
SVC0135,Talukdar,তালুকদার বাস,1,Chiriyakhana,Chittagong Road,32,32,24,0.7500,24,9887aacda664,,,needs_validation,SRC_BUS_GITHUB
SVC0136,Tanjil Paribahan,তানজিল পরিবহন বাস,1,Chiriyakhana,Sadarghat,22,22,21,0.9545,21,a437d64ca9c9,,5:30 am – 10:30 pm,needs_validation,SRC_BUS_GITHUB
SVC0137,Taranga Plus,তরঙ্গ প্লাস বাস,1,Mohammadpur Bus Stand,South Banasree,20,20,13,0.6500,13,4a18460e77bd,,,needs_validation,SRC_BUS_GITHUB
SVC0138,Tetulia,তেতুলিয়া বাস,1,Shia Mosque,Abdullahpur,23,23,15,0.6522,15,631aed4b286d,,,needs_validation,SRC_BUS_GITHUB
SVC0139,Thikana,ঠিকানা বাস,1,Sign Board,Chandra,32,32,28,0.8750,28,7f7e7d9cd197,,,needs_validation,SRC_BUS_GITHUB
SVC0140,Thikana Express,ঠিকানা এক্সপ্রেস বাস,1,Shonbari Sreenagar,Chandra,35,35,28,0.8000,28,9915f3d1fe89,,,needs_validation,SRC_BUS_GITHUB
SVC0141,Titas,তিতাস বাস,1,Chiriyakhana,Nobinagar Chandra,5,5,3,0.6000,3,e716653b2214,,,needs_validation,SRC_BUS_GITHUB
SVC0142,Transilva,ট্রান্সিল্ভা বাস,1,Mirpur 1,Jatrabari,23,23,18,0.7826,18,eb06065d6f41,,,needs_validation,SRC_BUS_GITHUB
SVC0143,Trust Transport Services,ট্রাষ্ট ট্রান্সপোর্ট বাস,1,Mirpur 10,Banani,6,6,6,1.0000,6,672f3863f357,,,needs_validation,SRC_BUS_GITHUB
SVC0144,Trust Transport Services,ট্রাষ্ট ট্রান্সপোর্ট বাস,2,Mirpur 10,Shahbag,11,11,9,0.8182,9,980a0a712813,,,needs_validation,SRC_BUS_GITHUB
SVC0145,Trust Transport Services,ট্রাষ্ট ট্রান্সপোর্ট বাস,3,Mirpur DOHS,Motijheel,17,17,11,0.6471,11,0d7b3861ad0a,,,needs_validation,SRC_BUS_GITHUB
SVC0146,Trust Transport Services,ট্রস্ট ট্রান্সপোর্ট বাস এসি,4,Mirpur DOHS,Kawran Bazar,10,10,5,0.5000,5,228b7a0d1299,,,needs_validation,SRC_BUS_GITHUB
SVC0147,Victor Classic,ভিক্টর ক্লাসিক বাস,1,Sadarghat,Diabari,30,30,22,0.7333,22,7057a02a3772,Semi-Sitting Service(Check System),,needs_validation,SRC_BUS_GITHUB
SVC0148,Victor Paribahan,ভিক্টর পরিবহন বাস,1,Sadarghat,Kuril Bishwa Road,23,23,16,0.6957,16,7ab66e1ac8f7,Semi-Sitting Service(Check System),6:30 am – 10:30 pm,needs_validation,SRC_BUS_GITHUB
SVC0149,VIP 27,ভিআইপি ২৭ বাস,1,Azimpur,Gazipur Chourasta,22,22,15,0.6818,15,3b0e96f8bcc9,,,needs_validation,SRC_BUS_GITHUB
SVC0150,Welcome,ওয়েলকাম বাস,1,Nandan Park,Motijheel,25,25,25,1.0000,25,9b9e3f05f332,,5:30 am – 10:30 pm,needs_validation,SRC_BUS_GITHUB
SVC0151,Winner,উইনার বাস,1,Azimpur,Kuril Bishwa Road,24,24,18,0.7500,18,449a975cadd5,,,needs_validation,SRC_BUS_GITHUB
SVC0152,4 No. Alike Dhaka,৪নং বাস,1,Balughat,Motijheel,14,14,9,0.6429,9,711d5534239c,,,needs_validation,SRC_BUS_GITHUB
SVC0153,6 No. Dhaka,৬নং বাস,1,Kamalapur,Notun Bazar,18,18,16,0.8889,16,151951e08681,,,needs_validation,SRC_BUS_GITHUB
SVC0154,6 No. Motijheel Banani Transport Dhaka,৬নং মতিঝিল বনানী ট্রান্সপোর্ট বাস,1,Kamalapur,Notun Bazar,18,18,16,0.8889,16,151951e08681,,,needs_validation,SRC_BUS_GITHUB
SVC0155,7 No. Dhaka,৭নং বাস,1,Gabtoli,Sadarghat,22,22,20,0.9091,20,1ad2c3991b65,,,needs_validation,SRC_BUS_GITHUB
SVC0156,8 No. Dhaka,৮নং বাস,1,Jatrabari,Gabtoli,21,21,19,0.9048,19,47e57da19d6c,,,needs_validation,SRC_BUS_GITHUB
