route_id,stop_sequence,place_id,stop_name_en,stop_name_bn,cumulative_distance_km,segment_distance_from_previous_km,source_id
BRTA_A_114_NO,4,PLC0080,Darussalam,দারুসসালাম,3.8,1.1,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,5,PLC0163,Kalyanpur,কল্যাণপুর,5.0,1.2,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,6,PLC0346,Shyamoli,শ্যামলী,5.4,0.4,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,7,PLC0078,College Gate,কলেজগেট,6.3,0.9,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,8,PLC0012,Asad Gate,আসাদগেট,7.2,0.9,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,9,PLC0112,Farmgate,ফার্মগেট,9.0,1.8,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,10,PLC0178,Kawran Bazar,কাওরানবাজার,10.0,1.0,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,11,PLC0331,Shahbag,শাহবাগ,11.4,1.4,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,12,PLC0298,Press Club,প্রেসক্লাব,13.1,1.7,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,13,PLC0354,Stadium,স্টেডিয়াম,14.1,1.0,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,14,PLC0136,Intefak,ইন্তেফাক,17.2,3.1,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,15,PLC0327,Sayedabad,সায়েদাবাদ,18.3,1.1,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,1,PLC0239,Mirpur-1,মিরপুর-১,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,2,PLC0008,Ansar Camp,আনসার ক্যাম্প,1.0,1.0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,3,PLC0362,Technical,টেকনিক্যাল,2.2,1.2,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,4,PLC0163,Kalyanpur,কল্যাণপুর,3.2,1.0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,5,PLC0346,Shyamoli,শ্যামলী,3.9,0.7,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,6,PLC0078,College Gate,কলেজগেট,4.6,0.7,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,7,PLC0344,Shukrabad,শুক্রাবাদ,6.8,2.2,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,8,PLC0156,Kalabagan,কলাবাগান,7.4,0.6,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,9,PLC0329,Science Lab,সায়েন্সল্যাব,8.4,1.0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,10,PLC0177,Katabon,কাটাবন,9.3,0.9,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,11,PLC0331,Shahbag,শাহবাগ,9.7,0.4,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,12,PLC0298,Press Club,প্রেসক্লাব,11.5,1.8,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,13,PLC0128,Gulistan Morh,গুলিস্তান মোড়,12.5,1.0,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,14,PLC0038,Bangladesh Bank,বাংলাদেশ ব্যাংক,13.8,1.3,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,15,PLC0143,Jatrabari,যাত্রাবাড়ী,17.6,3.8,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,1,PLC0243,Mirpur-12,মিরপুর-১২,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,2,PLC0105,ECB Morh,ইসিবি মোড়,4.4,4.4,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,3,PLC0240,Mirpur-10,মিরপুর-১০,8.9,4.5,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,4,PLC0179,Kazipara,কাজীপাড়া,10.3,1.4,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,5,PLC0340,Shewrapara,শেওড়াপাড়া,11.0,0.7,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,6,PLC0004,Agargaon,আগারগাঁও,12.7,1.7,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,7,PLC0343,Shishumela,শিশুমেলা,14.0,1.3,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,8,PLC0078,College Gate,কলেজগেট,14.5,0.5,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,9,PLC0219,Manikmia Avenue,মানিকমিয়া এভিনিউ,15.9,1.4,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,10,PLC0018,Azimpur,আজিমপুর,22.0,6.1,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,1,PLC0235,Mirpur Mazar Road,মিরপুর মাজার রোড,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,2,PLC0239,Mirpur-1,মিরপুর-১,1.0,1.0,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,3,PLC0346,Shyamoli,শ্যামলী,4.6,3.6,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,4,PLC0012,Asad Gate,আসাদগেট,6.6,2.0,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,5,PLC0320,Russell Square,রাসেল স্কয়ার,8.6,2.0,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,6,PLC0156,Kalabagan,কলাবাগান,9.0,0.4,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,7,PLC0329,Science Lab,সায়েন্সল্যাব,10.0,1.0,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,8,PLC0279,New Market,নিউমার্কেট,10.6,0.6,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,9,PLC0280,Nilkhet,নীলক্ষেত,10.8,0.2,SRC_BRTA_METRO_FARES
