route_id,from_place_id,from_name_en,to_place_id,to_name_en,segment_distance_km,direction,source_id
BRTA_A_122_NO,PLC0105,ECB Morh,PLC0240,Mirpur-10,4.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0240,Mirpur-10,PLC0105,ECB Morh,4.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0240,Mirpur-10,PLC0179,Kazipara,1.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0179,Kazipara,PLC0240,Mirpur-10,1.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0179,Kazipara,PLC0340,Shewrapara,0.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0340,Shewrapara,PLC0179,Kazipara,0.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0340,Shewrapara,PLC0004,Agargaon,1.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0004,Agargaon,PLC0340,Shewrapara,1.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0004,Agargaon,PLC0343,Shishumela,1.3,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0343,Shishumela,PLC0004,Agargaon,1.3,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0343,Shishumela,PLC0078,College Gate,0.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0078,College Gate,PLC0343,Shishumela,0.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0078,College Gate,PLC0219,Manikmia Avenue,1.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0219,Manikmia Avenue,PLC0078,College Gate,1.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0219,Manikmia Avenue,PLC0018,Azimpur,6.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0018,Azimpur,PLC0219,Manikmia Avenue,6.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0235,Mirpur Mazar Road,PLC0239,Mirpur-1,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0239,Mirpur-1,PLC0235,Mirpur Mazar Road,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0239,Mirpur-1,PLC0346,Shyamoli,3.6,forward,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0346,Shyamoli,PLC0239,Mirpur-1,3.6,reverse,SRC_BRTA_METRO_FARES
BRTA_A_127_NO,PLC0346,Shyamoli,PLC0012,Asad Gate,2.0,forward,SRC_BRTA_METRO_FARES
