entity_type,entity_id,name_en,name_bn,search_text,latitude,longitude,provider,confidence,status
official_place,PLC0086,Dhaka College,ঢাকা কলেজ,"Dhaka College, Dhaka, Bangladesh",,,,,pending
official_place,PLC0087,Dhakeshwari Etimkhana,ঢাকেশ্বরী এতিমখানা,"Dhakeshwari Etimkhana, Dhaka, Bangladesh",,,,,pending
official_place,PLC0088,Dhakeswari Mandir,ঢাকেশ্বরী মন্দির,"Dhakeswari Mandir, Dhaka, Bangladesh",,,,,pending
official_place,PLC0089,Dhaleswar,ধলেশ্বর,"Dhaleswar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0090,Dhamrai,ধামরাই,"Dhamrai, Dhaka, Bangladesh",,,,,pending
official_place,PLC0091,Dhanmondi,ধানমন্ডি,"Dhanmondi, Dhaka, Bangladesh",,,,,pending
official_place,PLC0092,Dhanmondi-15,ধানমন্ডি-১৫,"Dhanmondi-15, Dhaka, Bangladesh",,,,,pending
official_place,PLC0093,Dhaur,ধউর,"Dhaur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0094,Dhaur Morh,ধউর মোড়,"Dhaur Morh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0095,Dhowr,ধওর,"Dhowr, Dhaka, Bangladesh",,,,,pending
official_place,PLC0096,Dhowr Bridge,ধওর ব্রীজ,"Dhowr Bridge, Dhaka, Bangladesh",,,,,pending
official_place,PLC0097,Dhupkhola,ধোপখোলা,"Dhupkhola, Dhaka, Bangladesh",,,,,pending
official_place,PLC0098,Diabari,দিয়াবাড়ী,"Diabari, Dhaka, Bangladesh",,,,,pending
official_place,PLC0099,Diabari (Beribadh),দিয়াবাড়ী (বেড়িবাঁধ),"Diabari (Beribadh), Dhaka, Bangladesh",,,,,pending
official_place,PLC0100,Diabari Chourasta,দিয়াবাড়ী চৌরাস্তা,"Diabari Chourasta, Dhaka, Bangladesh",,,,,pending
official_place,PLC0101,Diabari Morh,দিয়াবাড়ী মোড়,"Diabari Morh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0102,Duyaripara,দুয়ারীপাড়া,"Duyaripara, Dhaka, Bangladesh",,,,,pending
official_place,PLC0103,Eastern Housing,ইস্টার্ন হাউজিং,"Eastern Housing, Dhaka, Bangladesh",,,,,pending
official_place,PLC0104,ECB Chattar,ইসিবি চত্বর,"ECB Chattar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0105,ECB Morh,ইসিবি মোড়,"ECB Morh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0106,Eden College,ইডেন কলেজ,"Eden College, Dhaka, Bangladesh",,,,,pending
official_place,PLC0107,Ekuria,ইকুরিয়া,"Ekuria, Dhaka, Bangladesh",,,,,pending
official_place,PLC0108,EPZ,ইপিজেড,"EPZ, Dhaka, Bangladesh",,,,,pending
official_place,PLC0109,Fakirapool,ফকিরাপুল,"Fakirapool, Dhaka, Bangladesh",,,,,pending
official_place,PLC0110,Fantasy,ফ্যান্টাসী,"Fantasy, Dhaka, Bangladesh",,,,,pending
official_place,PLC0111,Fantasy Kingdom,ফ্যান্টাসী কিংডম,"Fantasy Kingdom, Dhaka, Bangladesh",,,,,pending
official_place,PLC0112,Farmgate,ফার্মগেট,"Farmgate, Dhaka, Bangladesh",,,,,pending
official_place,PLC0113,Fulbaria,ফুলবাড়িয়া,"Fulbaria, Dhaka, Bangladesh",,,,,pending
official_place,PLC0114,Gabtoli,গাবতলী,"Gabtoli, Dhaka, Bangladesh",,,,,pending
official_place,PLC0115,Gabtoli Bridge Par,গাবতলী ব্রীজ পাড়,"Gabtoli Bridge Par, Dhaka, Bangladesh",,,,,pending
